Team/Forecaster,q203.1,q203.2,q203.3,q203.4,q204.1,q204.2,q204.3,q204.4,q205.1,q205.2,q205.3,q205.4,q205.5,q205.6,q206.1,q206.2,q206.3,q206.4,q206.5,q206.6
fc44,0.262,0.281,0.017,0.423,0.150,0.040,0.023,0.138,0.117,0.754,0.804,0.201,0.074,0.521,1.761,2.055,1.555,0.001,0.461,0.652
fc45,0.290,0.109,0.176,0.137,0.015,0.012,0.120,0.111,0.107,0.203,0.184,0.041,0.063,0.728,0.321,0.303,0.084,0.056,0.074,0.139
fc46,0.212,0.053,0.176,0.137,0.041,0.006,0.104,0.102,0.212,0.278,0.407,0.096,0.096,0.498,1.355,1.415,0.874,0.053,0.191,0.420
fc47,0.107,0.005,0.270,0.000,0.025,0.026,0.159,0.088,0.190,0.198,0.256,0.119,0.103,0.403,1.153,1.442,1.112,0.157,0.063,0.266
fc48,0.187,0.084,0.026,0.194,0.261,0.014,0.159,0.089,0.010,0.479,0.369,0.080,0.109,0.942,0.375,0.878,0.457,0.234,0.106,0.019
fc49,0.204,0.001,0.449,0.008,0.080,0.002,0.045,0.137,0.033,0.359,0.409,0.062,0.149,0.964,0.662,0.652,0.396,0.002,0.033,0.435
fc50,0.461,0.053,0.014,0.230,0.118,0.004,0.031,0.018,0.028,0.714,0.882,0.125,0.037,1.296,0.847,0.892,0.617,0.012,0.024,0.668
fc51,0.239,0.001,0.029,0.002,0.211,0.008,0.021,0.130,0.164,0.583,0.600,0.119,0.106,0.816,1.389,1.325,1.203,0.083,0.082,0.188
fc52,0.286,0.102,0.010,0.012,0.050,0.020,0.055,0.189,0.139,0.367,0.284,0.058,0.054,0.908,0.380,0.902,1.109,0.005,0.116,0.421
fc53,0.542,0.005,0.048,0.053,0.147,0.000,0.068,0.214,0.045,0.458,0.387,0.026,0.167,0.994,0.266,0.400,0.391,0.001,0.016,0.668
fc54,0.269,0.005,0.023,0.005,0.029,0.000,0.061,0.144,0.058,0.428,0.391,0.054,0.071,0.680,0.359,0.365,0.689,0.064,0.056,0.276
fc55,0.085,0.032,0.292,0.004,0.147,0.002,0.109,0.159,0.117,0.364,0.283,0.212,0.161,0.837,0.658,0.721,0.713,0.149,0.120,0.065
fc56,0.283,0.281,0.384,0.005,0.129,0.026,0.019,0.078,0.097,0.585,0.347,0.393,0.551,0.442,0.824,1.366,1.130,0.691,0.916,0.638
fc57,0.160,0.040,0.036,0.250,0.041,0.029,0.066,0.148,0.122,0.538,0.581,0.082,0.522,0.643,0.369,0.356,0.195,0.019,0.176,0.037
fc58,0.281,0.023,0.325,0.017,0.080,0.020,0.017,0.102,0.097,0.320,0.358,0.060,0.431,0.875,0.523,0.543,0.213,0.007,0.052,0.268
fc59,0.417,0.001,0.176,0.176,0.005,0.004,0.014,0.196,0.176,0.938,1.030,0.136,0.309,1.091,0.005,0.077,1.593,0.001,0.031,0.637
fc60,0.414,0.000,0.185,0.010,0.012,0.006,0.083,0.172,0.096,0.737,0.770,0.238,0.166,0.421,0.029,0.050,0.981,0.001,0.006,0.443
fc61,0.475,0.006,0.221,0.029,0.044,0.008,0.039,0.175,0.239,0.830,0.707,0.375,0.120,0.654,0.104,0.321,1.029,0.005,0.137,0.422
fc62,0.349,0.005,0.325,0.102,0.024,0.002,0.097,0.138,0.149,0.583,0.501,0.323,0.285,0.597,0.950,1.225,1.331,0.013,0.089,0.404
fc63,0.426,0.137,0.336,0.073,0.026,0.000,0.158,0.262,0.201,0.830,0.873,0.023,0.104,0.231,0.273,0.556,0.472,0.007,0.042,0.652
fc64,0.469,0.005,0.168,0.053,0.023,0.005,0.068,0.171,0.161,0.790,0.971,0.315,0.133,0.166,0.061,1.785,1.755,0.034,0.193,0.567
fc65,0.357,0.001,0.270,0.014,0.042,0.008,0.080,0.174,0.129,0.651,0.719,0.146,0.172,0.254,0.971,1.451,1.474,0.011,0.046,0.638
fc66,0.330,0.005,0.014,0.176,0.071,0.004,0.048,0.255,0.095,0.590,0.621,0.031,0.004,0.768,1.482,1.695,1.106,0.001,0.013,0.644
fc67,0.353,0.002,0.176,0.029,0.037,0.002,0.115,0.149,0.131,0.619,0.341,0.877,0.132,0.217,0.616,1.289,1.528,0.031,0.010,0.351
fc68,0.317,0.014,0.048,0.000,0.043,0.020,0.336,0.207,0.160,0.577,0.628,0.132,0.420,1.100,1.047,1.741,1.621,0.034,0.001,0.536
fc69,0.432,0.032,0.260,0.032,0.041,0.023,0.121,0.204,0.170,0.487,0.485,0.495,0.128,0.687,0.016,0.037,1.093,0.019,0.184,0.660
fc70,0.472,0.001,0.303,0.023,0.069,0.002,0.105,0.253,0.171,0.627,0.701,0.190,0.303,0.507,0.001,0.003,1.244,0.001,0.003,0.677
fc71,0.384,0.053,0.348,0.032,0.080,0.004,0.093,0.181,0.147,0.734,0.724,0.526,0.037,0.208,0.012,0.012,1.444,0.001,0.002,0.660
fc72,0.381,0.084,0.048,0.000,0.034,0.008,0.488,0.161,0.160,0.633,0.693,0.432,0.237,0.417,0.028,0.025,1.527,0.009,0.144,0.622
fc73,0.435,0.005,0.073,0.073,0.039,0.058,0.020,0.192,0.192,0.700,0.821,0.378,0.134,0.210,1.319,1.642,1.337,0.002,0.515,0.481
