team,q101.1,q101.2,q101.3,q101.4,q102.1,q102.2,q102.3,q102.4,q103.1,q103.2,q103.3,q103.4,q104.1,q104.2,q104.3,q104.4
UPfc01,0.028,0.102,0.108,0.048,0.36,0.084,0.077,0.016,0.133,0.421,0.005,0.6,0.03,0.084,0.087,0.071
UPfc02,0.068,0.044,0.243,0.098,0.202,0.023,0.043,0.164,0.427,0.446,0.206,0.372,0.012,0.217,0.017,0.01
UPfc03,0.283,0.058,0.453,0.039,1.332,0.455,0.413,0.164,0.394,0.364,0.024,0.614,0.034,0.102,0.017,0.008
UPfc04,0.201,0.058,0.481,0.0141,0.735,0.124,0.404,0.003,0.069,0.497,0.055,0.682,0.022,0.158,0.004,0.025
UPfc06,0.113,0.058,0.376,0.039,1.419,0.11,0.22,0.057,0.351,0.364,0.047,0.532,0.036,0.114,0.085,0.907
UPfc09,0.11,0.002,0.43,0.241,0.089,0.016,0.028,0.158,0.348,0.018,0.158,0.173,0.03,0.047,0.001,0.021
UPfc11,0.053,0.004,0.24,0.159,0.029,0.114,0.017,0.106,0.313,0.492,0.145,0.053,0.018,0.065,0.159,0.215
UPfc12,0.019,0.001,0.143,0.023,0.002,0.079,0.021,0.092,0.263,0.509,0.046,0.817,0.077,0.047,0.012,0.044
UPfc14,0.059,0.004,0.145,0.026,0.105,0.048,0.078,0.361,0.034,0.174,0.165,0.308,0.1,0.066,0.29,0.149
UPfc15,0.073,0.036,0.103,0.039,0.144,0.037,0.067,0.026,0.312,0.413,0.07,0.855,0.031,0.081,0.002,0.007
UPfc16,0.007,0.058,0.049,0.009,0.037,0.178,0.034,0.382,0.431,0.249,0.028,0.419,0.186,0.018,0.198,0.177
UPfc17,0.107,0.137,0.181,0.083,0.15,0.023,0.008,0.013,0.47,0.365,0.05,0.372,0.12,0.111,0.052,0.042
UPfc18,0.265,0.036,0.255,0.039,0.138,0.014,0.034,0.035,0.038,0.186,0.124,0.301,0.008,0.428,0.124,0.046
UPfc19,0.007,0.002,0.416,0.009,0.029,0.19,0.042,0.096,0.092,0.319,0.095,0.053,0.063,0.063,0.157,0.015
UPfc20,0.026,0.008,0.01,0.016,0.251,0.009,0.015,0.018,0.394,0.212,0.001,0.255,0.015,0.093,0.209,0.08
